,Agilité et réactivité,Conformité et risques,Diversification horizontale,Durabilité et RSE,Développement de produit,Excellence opérationnelle,Expansion géographique,Expérience utilisateur premium,Externalisation stratégique,Fidélisation client,Fidélisation client (B2B),Intégration verticale,Low-cost / domination par les coûts,Optimisation opérationnelle,Partenariat et alliance,Pénétration de marché,Recentrage sur le cœur de métier,Réduction des coûts,Stratégie océan bleu,Transformation digitale
Agilité et réactivité,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conformité et risques,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diversification horizontale,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Durabilité et RSE,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Développement de produit,0,1,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Excellence opérationnelle,1,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Expansion géographique,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0
Expérience utilisateur premium,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Externalisation stratégique,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Fidélisation client,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
Fidélisation client (B2B),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Intégration verticale,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Low-cost / domination par les coûts,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Optimisation opérationnelle,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0
Partenariat et alliance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
Pénétration de marché,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
Recentrage sur le cœur de métier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Réduction des coûts,0,1,1,0,1,0,1,0,2,0,1,0,0,0,0,0,1,2,0,0
Stratégie océan bleu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Transformation digitale,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
